,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
4096,2019-07-31 14:53:08.000,94.0,31.05302998568708,1.9865059732825483,2.012606267637514,0.1474162783779269,413.1309298187426,434.7370445997065,0.0395511663677987,162.7,50.71758394083993,15831.17735731856,1.1,140.8,43.66229333333333,-79.36724333333333,1007.7,9.881504467556988,24.71028597805352,13.8,26.92973799141225,22.5,171.0,1.8,0.8,10.0
4097,2019-07-31 14:53:09.000,93.7,31.05986520658225,1.9881462857546208,1.9963748870900817,0.2812188422370793,414.4441352778923,432.5791847528047,0.159508950124127,159.6,50.62889134072739,16204.717790061552,1.1,142.1,43.66226166666666,-79.367225,1007.6,9.88232581594741,24.71448761918207,13.3,26.930994201097043,22.5,160.8,359.6,1.6,10.4
4098,2019-07-31 14:53:10.000,93.2,31.055791314234146,1.9743130489338303,2.0431395426026024,0.2158257299197798,414.0499783523989,440.880409479563,0.00910811759932,160.2,50.92133627692807,15739.251225335203,1.1,141.4,43.66223166666666,-79.36720666666666,1007.6,9.8822059843941,24.71612691338769,12.0,26.932295443094542,22.4,169.3,2.7,1.4,8.2
4099,2019-07-31 14:53:11.000,93.5,31.06123318253842,1.996856610090301,2.022342936903008,0.4167910141806958,419.0149254169932,435.7850348074844,0.0856419839425863,157.4,50.579728028014856,15933.046303076337,1.1,141.0,43.66221333333333,-79.36719166666667,1007.8,9.8816296557038,24.703519410690337,10.1,26.934472842645118,22.4,182.8,6.1,1.1,7.8
4100,2019-07-31 14:53:12.000,92.8,31.063243394596256,1.985669820710081,2.0170133865695568,0.3254355905573042,417.8407084583696,436.11557706409474,0.2486449077294025,162.5,50.62096122082786,15905.594045414437,1.1,145.9,43.662195,-79.36718833333333,1007.8,9.880709521177884,24.71357836660619,9.0,26.93565763145114,22.4,181.8,5.8,1.2,7.7
4101,2019-07-31 14:53:13.000,91.9,31.06628513739623,1.9895897020400284,2.0118393293007406,0.1917492873093506,420.0484180449192,435.8864111047644,0.2991426306906669,164.6,50.43710266748182,16027.90463943446,1.1,145.8,43.66217333333334,-79.36718166666667,1007.7,9.882563367655576,24.704584020850763,9.0,26.936674284059464,22.4,179.1,5.3,1.6,7.7
4102,2019-07-31 14:53:14.000,91.5,31.06775964037876,1.9725237742340784,2.0212844623247337,0.3166217950857866,417.88499162936216,437.9785171802944,0.3464954935454207,166.2,50.83893211733038,15942.795233038933,1.1,149.1,43.66215,-79.367175,1007.7,9.881975796687524,24.705472494217105,8.7,26.93768303364897,22.4,208.4,4.7,0.7,5.6
4103,2019-07-31 14:53:15.000,92.0,31.065852682844945,1.9891711481630867,2.0176027664229026,0.1773154252822149,422.249928077694,437.47279049650274,0.4135922782666678,166.4,50.65966838927505,15853.002327570532,1.1,161.3,43.66213333333334,-79.36717166666666,1007.6,9.88327531925067,24.7050878896852,7.9,26.939758303365707,22.4,58.8,330.6,0.7,4.6
4104,2019-07-31 14:53:16.000,91.4,31.065148194237626,1.990507955092272,2.0166338477957573,0.3861866442633888,422.7025907750093,437.3511407380957,0.1640475649816585,165.9,50.58098208844331,16091.845891953692,1.1,169.4,43.66211666666667,-79.36717666666667,1007.8,9.882727110780197,24.71024094684359,6.1,26.940722889219806,22.5,64.2,303.2,1.3,3.6
4105,2019-07-31 14:53:17.000,91.6,31.065942757369243,1.9905966433861568,2.0457776376426557,0.2205005312502525,423.0476400804668,442.2547405724866,0.0740496930336385,163.5,50.46230231398293,15823.824927784768,1.1,172.9,43.662115,-79.36718,1007.8,9.880824025699972,24.70677349256917,3.5,26.942860073569264,22.6,42.8,269.8,1.1,1.7
4106,2019-07-31 14:53:18.000,92.5,31.070497807086525,1.9829356166586136,2.0209995210577647,0.3903622650473055,423.3474906840498,437.51678789701015,0.2242729003358682,159.2,50.441481395997634,15895.851708491306,1.1,171.9,43.662105,-79.36718,1007.8,9.882339825500296,24.70884260785757,2.0,26.94328111294291,22.6,46.8,276.7,0.9,1.7
4107,2019-07-31 14:53:19.000,94.8,31.0696570093179,1.984191635557256,2.024236002516131,0.4053823201603361,423.3412352018878,437.1622986884627,0.1413069270432652,157.5,50.51603738501864,15753.601527138828,1.1,164.8,43.66209166666667,-79.36717833333333,1007.8,9.881688006211933,24.710904984470165,1.6,26.94453823990561,22.6,53.8,279.1,0.9,1.6
4108,2019-07-31 14:53:20.000,96.9,31.0696,1.9857952826446763,2.0251147634693383,0.3307431370130502,424.53411896464127,436.0825005546869,0.0618697905174157,157.7,50.42316499360365,15946.195483143512,1.1,184.5,43.66208666666667,-79.36718166666667,1007.7,9.87927701019796,24.70775977296107,1.1,26.946124812724204,22.7,49.2,269.8,0.7,1.1
4109,2019-07-31 14:53:21.000,97.3,31.07366762067122,1.981211605850338,2.018402337965057,0.3889826192760243,423.79012915798967,435.26785681295866,0.0677107847329664,157.3,50.52541716289764,16093.561937262064,1.1,202.5,43.66209166666667,-79.36719000000001,1007.8,9.88108727741327,24.710699139559026,0.5,26.947362177334632,22.7,93.0,250.0,0.4,1.0
4110,2019-07-31 14:53:22.000,95.8,31.0715,1.98598,2.0326605987847617,0.35643,424.676,437.26778679158673,0.1285282861116863,152.7,50.4612,16034.63802867471,1.1,203.8,43.66209666666666,-79.36719666666667,1007.9,9.87953,24.7061,0.3,26.9496,22.8,83.9,251.2,0.5,1.0
4111,2019-07-31 14:53:23.000,94.6,31.07780076077613,1.984138996460724,2.0292852302452817,0.2271767841347433,424.39443475281655,435.3393772546346,0.0,173.1,50.43314192466878,16004.665522167355,1.1,200.5,43.66209833333333,-79.36720166666667,1007.9,9.882030614433027,24.712696108937514,1.1,26.95028914570989,22.8,189.2,342.4,0.8,3.2
4112,2019-07-31 14:53:24.000,94.2,31.07463962875701,1.983003143194093,2.027583877357628,0.2112546515637056,423.84864449032153,433.6614349920005,0.0411451679016442,170.4,50.525890300509154,15965.987988133656,1.1,199.1,43.66209833333333,-79.367205,1007.8,9.880235244549157,24.70618731879776,2.4,26.9538920742486,22.8,177.0,345.6,1.7,4.9
4113,2019-07-31 14:53:25.000,94.2,31.077138330356167,1.9843508819219131,2.035658491181434,0.2295867352630236,424.09355892967807,434.7017176003909,0.1860552933343475,163.4,50.39122980350698,16038.176179158509,1.1,199.6,43.66209666666666,-79.36720166666667,1007.8,9.879977372097262,24.70548943749772,3.7,26.95348943749772,22.7,211.2,358.5,2.6,7.2
4114,2019-07-31 14:53:26.000,93.8,31.07850018281678,1.981467293460876,2.037394879564548,0.3564765218072819,422.7422063199408,434.3642958897256,0.2785111810137205,161.8,50.47442024031795,15954.3911945266,1.1,212.3,43.66207833333333,-79.36719166666667,1007.8,9.88107377644268,24.708155514929604,5.7,26.95623177505028,22.6,156.6,354.3,2.4,7.5
